"DateTime";"Смертей за день";"Заражений за день";"Выздоровлений за день"
2020-01-22 00:00:00;17;557;30
2020-01-23 00:00:00;1;100;2
2020-01-24 00:00:00;8;287;7
2020-01-25 00:00:00;16;493;3
2020-01-26 00:00:00;14;683;14
2020-01-27 00:00:00;26;809;9
2020-01-28 00:00:00;49;2651;43
2020-01-29 00:00:00;2;589;19
2020-01-30 00:00:00;39;2068;18
2020-01-31 00:00:00;42;1690;80
2020-02-01 00:00:00;46;2111;62
2020-02-02 00:00:00;104;4749;189
2020-02-03 00:00:00;64;3100;151
2020-02-04 00:00:00;66;4012;230
2020-02-05 00:00:00;72;3745;273
2020-02-06 00:00:00;70;3162;363
2020-02-07 00:00:00;85;3594;523
2020-02-08 00:00:00;87;2731;601
2020-02-09 00:00:00;100;3031;630
2020-02-10 00:00:00;107;2609;702
2020-02-11 00:00:00;100;2043;735
2020-02-12 00:00:00;5;418;467
2020-02-13 00:00:00;253;15152;1143
2020-02-14 00:00:00;152;6528;1767
2020-02-15 00:00:00;143;2143;1336
2020-02-16 00:00:00;104;2183;1470
2020-02-17 00:00:00;98;2035;1720
2020-02-18 00:00:00;140;1882;1765
2020-02-19 00:00:00;115;500;1771
2020-02-20 00:00:00;125;561;2058
2020-02-21 00:00:00;4;630;713
2020-02-22 00:00:00;208;1762;3998
2020-02-23 00:00:00;11;382;505
2020-02-24 00:00:00;160;568;1832
2020-02-25 00:00:00;80;854;2678
2020-02-26 00:00:00;61;972;2481
2020-02-27 00:00:00;43;1344;2894
2020-02-28 00:00:00;59;1424;3432
2020-02-29 00:00:00;70;1871;3071
2020-03-01 00:00:00;54;2379;2936
2020-03-02 00:00:00;90;1980;2884
2020-03-03 00:00:00;74;2612;2622
2020-03-04 00:00:00;96;2322;2943
2020-03-05 00:00:00;95;2711;2626
2020-03-06 00:00:00;114;3930;2068
2020-03-07 00:00:00;104;4131;2494
2020-03-08 00:00:00;242;3854;2337
2020-03-09 00:00:00;194;4323;1800
2020-03-10 00:00:00;275;4786;1907
2020-03-11 00:00:00;352;7476;2597
2020-03-12 00:00:00;321;6756;1329
2020-03-13 00:00:00;503;13194;1927
2020-03-14 00:00:00;426;10888;2367
2020-03-15 00:00:00;670;11233;3409
2020-03-16 00:00:00;709;14567;2055
2020-03-17 00:00:00;852;15174;2744
2020-03-18 00:00:00;956;17561;2487
2020-03-19 00:00:00;1142;27087;1641
2020-03-20 00:00:00;1574;29530;2445
2020-03-21 00:00:00;1807;32427;4247
2020-03-22 00:00:00;1828;34212;6217
2020-03-23 00:00:00;2094;42555;488
2020-03-24 00:00:00;2426;41883;9619
2020-03-25 00:00:00;2971;51481;5779
2020-03-26 00:00:00;3250;60814;8372
2020-03-27 00:00:00;3639;63931;8785
2020-03-28 00:00:00;4049;69582;8511
2020-03-29 00:00:00;3818;56516;9456
2020-03-30 00:00:00;4369;65011;15336
2020-03-31 00:00:00;5164;78442;13590
2020-04-01 00:00:00;6642;86347;15272
2020-04-02 00:00:00;6241;82444;17143
2020-04-03 00:00:00;6496;84203;15422
2020-04-04 00:00:00;6359;60130;20412
2020-04-05 00:00:00;5921;71713;13836
2020-04-06 00:00:00;6425;74724;16709
2020-04-07 00:00:00;8517;68942;23262
2020-04-08 00:00:00;7217;82176;28882
2020-04-09 00:00:00;8151;87177;25254
2020-04-10 00:00:00;7741;86430;21738
2020-04-11 00:00:00;6980;75508;26250
2020-04-12 00:00:00;6512;118581;19383
2020-04-13 00:00:00;6511;71833;27257
2020-04-14 00:00:00;7355;84618;25074
2020-04-15 00:00:00;8764;78268;36539
2020-04-16 00:00:00;7710;94459;30883
2020-04-17 00:00:00;8883;87871;26184
2020-04-18 00:00:00;6430;78228;23866
2020-04-19 00:00:00;6100;76326;31783
2020-04-20 00:00:00;6511;76492;22178
2020-04-21 00:00:00;7194;76081;34802
2020-04-22 00:00:00;7277;82017;30085
2020-04-23 00:00:00;7271;82689;28730
2020-04-24 00:00:00;6838;83569;50029
2020-04-25 00:00:00;6049;83170;27755
2020-04-26 00:00:00;4818;70763;28812
2020-04-27 00:00:00;5445;71029;27884
2020-04-28 00:00:00;6626;75755;33212
2020-04-29 00:00:00;6980;77318;42077
2020-04-30 00:00:00;6255;83704;65116
2020-05-01 00:00:00;5587;88970;38157
